date,appName,placementName,adUnit,adFormat,country,network,mediation,revenue,ecpm,impressions,requests,matchedRequests,fills,matchRate,fillRate,clicks
2026-06-01,Sample Puzzle Game,Sample Rewarded Placement,sample-rewarded-us-admob,Rewarded,US,AdMob,Sample Mediation,160.315324,6.234312,25715,39199,32927,32927,83.999592,83.999592,386
2026-06-02,Sample Puzzle Game,Sample Rewarded Placement,sample-rewarded-us-admob,Rewarded,US,AdMob,Sample Mediation,160.315324,6.234312,25715,39199,32927,32927,83.999592,83.999592,386
2026-06-03,Sample Puzzle Game,Sample Rewarded Placement,sample-rewarded-us-admob,Rewarded,US,AdMob,Sample Mediation,160.309090,6.234312,25714,39199,32927,32927,83.999592,83.999592,386
2026-06-04,Sample Puzzle Game,Sample Rewarded Placement,sample-rewarded-us-admob,Rewarded,US,AdMob,Sample Mediation,160.309090,6.234312,25714,39199,32927,32927,83.999592,83.999592,386
2026-06-05,Sample Puzzle Game,Sample Rewarded Placement,sample-rewarded-us-admob,Rewarded,US,AdMob,Sample Mediation,160.309090,6.234312,25714,39198,32927,32927,84.001735,84.001735,386
2026-06-06,Sample Puzzle Game,Sample Rewarded Placement,sample-rewarded-us-admob,Rewarded,US,AdMob,Sample Mediation,160.309090,6.234312,25714,39198,32927,32927,84.001735,84.001735,386
2026-06-07,Sample Puzzle Game,Sample Rewarded Placement,sample-rewarded-us-admob,Rewarded,US,AdMob,Sample Mediation,160.309090,6.234312,25714,39198,32926,32926,83.999184,83.999184,386
2026-06-01,Sample Puzzle Game,Sample Rewarded Placement,sample-rewarded-us-applovin,Rewarded,US,AppLovin,Sample Mediation,81.994854,5.739525,14286,21777,18293,18293,84.001469,84.001469,214
2026-06-02,Sample Puzzle Game,Sample Rewarded Placement,sample-rewarded-us-applovin,Rewarded,US,AppLovin,Sample Mediation,81.994854,5.739525,14286,21777,18293,18293,84.001469,84.001469,214
2026-06-03,Sample Puzzle Game,Sample Rewarded Placement,sample-rewarded-us-applovin,Rewarded,US,AppLovin,Sample Mediation,81.994854,5.739525,14286,21777,18293,18293,84.001469,84.001469,214
2026-06-04,Sample Puzzle Game,Sample Rewarded Placement,sample-rewarded-us-applovin,Rewarded,US,AppLovin,Sample Mediation,81.994854,5.739525,14286,21777,18293,18293,84.001469,84.001469,214
