date,appName,placementName,adUnit,adFormat,country,network,mediation,revenue,ecpm,impressions,requests,matchedRequests,fills,matchRate,fillRate,clicks
2026-06-08,Sample Puzzle Game,Sample Rewarded Placement,sample-rewarded-us-admob,Rewarded,US,AdMob,Sample Mediation,90.729372,7.056259,12858,23143,19440,19440,83.999481,83.999481,193
2026-06-09,Sample Puzzle Game,Sample Rewarded Placement,sample-rewarded-us-admob,Rewarded,US,AdMob,Sample Mediation,90.722316,7.056259,12857,23143,19440,19440,83.999481,83.999481,193
2026-06-10,Sample Puzzle Game,Sample Rewarded Placement,sample-rewarded-us-admob,Rewarded,US,AdMob,Sample Mediation,90.722316,7.056259,12857,23143,19440,19440,83.999481,83.999481,193
2026-06-11,Sample Puzzle Game,Sample Rewarded Placement,sample-rewarded-us-admob,Rewarded,US,AdMob,Sample Mediation,90.722316,7.056259,12857,23143,19440,19440,83.999481,83.999481,193
2026-06-12,Sample Puzzle Game,Sample Rewarded Placement,sample-rewarded-us-admob,Rewarded,US,AdMob,Sample Mediation,90.722316,7.056259,12857,23143,19440,19440,83.999481,83.999481,193
2026-06-13,Sample Puzzle Game,Sample Rewarded Placement,sample-rewarded-us-admob,Rewarded,US,AdMob,Sample Mediation,90.722316,7.056259,12857,23143,19440,19440,83.999481,83.999481,193
2026-06-14,Sample Puzzle Game,Sample Rewarded Placement,sample-rewarded-us-admob,Rewarded,US,AdMob,Sample Mediation,90.722316,7.056259,12857,23142,19440,19440,84.003111,84.003111,193
2026-06-08,Sample Puzzle Game,Sample Rewarded Placement,sample-rewarded-us-applovin,Rewarded,US,AppLovin,Sample Mediation,41.764314,6.496238,6429,11572,9720,9720,83.995852,83.995852,96
2026-06-09,Sample Puzzle Game,Sample Rewarded Placement,sample-rewarded-us-applovin,Rewarded,US,AppLovin,Sample Mediation,41.764314,6.496238,6429,11572,9720,9720,83.995852,83.995852,96
2026-06-10,Sample Puzzle Game,Sample Rewarded Placement,sample-rewarded-us-applovin,Rewarded,US,AppLovin,Sample Mediation,41.764314,6.496238,6429,11572,9720,9720,83.995852,83.995852,96
2026-06-11,Sample Puzzle Game,Sample Rewarded Placement,sample-rewarded-us-applovin,Rewarded,US,AppLovin,Sample Mediation,41.764314,6.496238,6429,11571,9720,9720,84.003111,84.003111,96
2026-06-12,Sample Puzzle Game,Sample Rewarded Placement,sample-rewarded-us-applovin,Rewarded,US,AppLovin,Sample Mediation,41.757818,6.496238,6428,11571,9720,9720,84.003111,84.003111,96
